iso,Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
USA.MA,Massachusetts,MtCO2e,78.18,76.16,77.92,74.44,75.11,72.44,73.19,79.27,77.67,75.32,76.32,76.46,76.90,79.19,76.82,77.37,70.88,74.11,69.25,64.67,66.89,62.77,56.24,59.88,58.64,60.12,57.18,57.19,56.96,56.24,45.84
USA.WA,Washington,MtCO2e,53.85,53.26,60.76,58.61,63.69,61.03,64.58,59.35,65.21,67.26,66.14,61.15,55.09,55.87,56.38,57.75,54.72,57.72,56.02,52.74,50.66,43.30,41.49,47.84,46.15,47.22,47.74,50.14,50.92,56.59,44.22
USA.MD,Maryland,MtCO2e,64.44,62.67,63.13,65.09,66.45,66.03,68.67,69.76,72.43,74.72,75.12,75.72,76.26,79.03,80.21,81.30,74.86,75.29,70.29,66.65,66.26,65.88,57.98,57.21,59.84,58.27,56.31,50.82,57.26,52.75,44.06
USA.NE,Nebraska,MtCO2e,28.75,29.40,28.90,33.67,32.07,35.26,36.01,37.15,39.64,38.69,36.60,41.85,39.92,41.97,41.96,41.96,39.80,42.57,42.81,44.33,44.82,47.17,44.08,46.77,48.18,46.28,43.01,41.88,46.76,44.91,40.84
USA.NV,Nevada,MtCO2e,30.85,32.80,33.78,34.07,34.91,34.52,38.18,38.33,40.64,41.00,44.84,43.44,39.25,41.67,46.28,48.54,39.66,39.52,38.80,37.46,39.17,35.59,35.66,37.95,39.35,37.46,37.74,37.65,38.82,39.32,34.77
USA.MT,Montana,MtCO2e,40.87,39.82,40.57,42.71,38.51,40.26,36.22,41.94,42.89,43.26,38.08,43.18,42.55,43.13,45.34,45.04,44.32,49.63,47.81,46.47,52.71,54.84,35.47,46.61,44.60,43.09,40.17,40.13,40.74,43.39,32.57
USA.CT,Connecticut,MtCO2e,37.02,36.23,36.26,33.82,33.37,32.62,35.20,38.78,35.95,36.66,38.99,37.34,35.47,38.99,41.03,39.13,37.11,36.11,32.67,31.35,31.58,30.34,29.12,29.55,29.94,31.15,28.84,28.11,31.76,31.06,28.27
USA.AR,Arkansas,MtCO2e,4.84,4.46,7.29,6.72,11.32,15.58,18.16,18.09,19.94,22.87,24.27,23.11,21.93,24.62,25.13,24.39,29.44,30.90,31.33,28.91,33.29,35.34,34.84,36.53,36.65,25.75,28.49,30.69,37.64,32.30,21.99
USA.ID,Idaho,MtCO2e,12.21,13.23,12.49,13.06,12.84,13.04,13.95,13.78,12.66,13.61,13.10,12.57,12.45,12.60,14.64,14.57,14.25,13.57,14.11,13.20,13.61,13.54,12.67,14.35,15.33,15.46,17.23,17.96,18.33,19.91,19.15
USA.AK,Alaska,MtCO2e,27.73,21.29,16.08,17.95,16.30,21.81,22.41,21.24,28.68,31.56,30.51,27.31,54.52,29.34,110.44,57.86,28.04,29.16,19.52,47.61,25.87,19.77,18.15,34.44,17.23,108.40,13.62,25.23,35.82,60.26,15.37
USA.HI,Hawaii,MtCO2e,18.55,16.30,17.85,16.86,17.80,17.89,17.92,17.61,17.79,16.91,17.49,17.26,18.25,18.09,18.84,19.94,20.41,19.54,18.05,17.21,17.83,18.17,17.66,17.78,17.75,17.78,17.76,18.11,17.76,18.12,14.13
USA.SD,South Dakota,MtCO2e,11.18,10.27,10.80,12.35,11.11,12.97,11.41,13.97,12.43,13.85,11.61,13.00,11.97,14.04,13.68,13.95,12.81,15.90,14.81,15.64,15.84,14.41,11.60,13.84,14.96,12.85,12.65,12.39,13.44,14.06,12.03
USA.DE,Delaware,MtCO2e,17.04,16.43,16.55,17.81,17.35,16.71,16.93,15.72,15.21,15.32,15.34,15.06,14.93,15.73,15.72,16.54,15.51,16.39,15.19,11.07,11.93,13.08,13.68,13.37,12.96,13.17,14.09,12.91,13.19,12.88,11.84
USA.RI,Rhode Island,MtCO2e,8.11,9.88,12.24,9.90,11.89,11.12,12.65,12.35,12.87,12.24,10.83,11.46,10.76,10.64,10.18,10.33,9.81,10.32,9.87,10.42,10.24,10.30,9.64,9.29,9.81,10.05,8.84,9.18,10.31,9.67,9.07
USA.NH,New Hampshire,MtCO2e,8.09,7.83,7.91,8.29,8.41,8.53,8.92,10.73,10.13,10.31,10.95,10.62,10.68,14.63,15.64,15.00,13.34,12.95,12.16,10.64,10.46,10.21,8.53,8.25,9.02,9.00,7.44,7.04,8.04,7.77,6.31
USA.ME,Maine,MtCO2e,17.10,16.97,17.68,16.84,17.76,16.32,16.82,16.83,15.75,16.38,18.14,18.06,19.03,18.78,18.69,16.98,15.17,14.51,12.12,10.53,9.55,9.11,6.85,7.24,7.24,7.06,6.18,5.02,5.05,4.81,3.99
USA.MS,Mississippi,MtCO2e,-19.49,-20.32,-20.12,-17.87,-17.83,-15.66,-12.54,-10.42,-9.36,-3.51,-3.81,4.85,-2.97,-1.29,-0.52,-1.41,0.70,2.81,-0.74,-6.53,-2.34,-6.62,-4.61,-7.57,-4.26,-3.92,-2.61,-3.39,1.04,1.21,3.08
USA.DC,District of Columbia,MtCO2e,4.49,4.37,4.50,4.70,4.62,4.45,4.40,4.33,4.16,4.18,4.42,4.26,4.43,4.13,4.16,4.39,3.46,3.61,3.34,3.37,3.48,3.20,2.66,2.85,3.03,2.98,2.79,2.59,3.59,2.83,2.41
USA.VT,Vermont,MtCO2e,-1.90,-1.56,-1.06,-1.09,-1.09,-1.03,-0.44,-0.42,-0.61,-0.67,-0.07,-0.20,-0.29,0.02,0.57,0.34,0.38,0.04,-0.39,-0.10,-0.25,-0.06,-0.52,-0.11,0.17,0.42,0.27,0.19,0.40,0.68,0.03
USA.OR,Oregon,MtCO2e,-4.72,-3.43,-1.01,-0.37,-0.03,-2.19,-0.34,-1.36,4.36,5.11,3.26,2.02,0.29,0.72,1.21,1.02,-0.44,2.86,1.38,-1.37,-2.54,-5.27,-6.54,-4.36,-5.29,-4.26,-2.75,-1.17,0.01,2.47,-1.33
